PULocationID,demand
1,125
2,2
3,2384
4,5550
5,293
6,608
7,11304
8,52
9,916
10,3749
11,1218
12,402
13,10226
14,5881
15,754
16,2155
17,9023
18,5021
19,938
20,3066
21,2785
22,3692
23,1585
24,3727
25,6895
26,5261
27,93
28,2835
29,2167
30,73
31,481
32,2601
33,5916
34,1074
35,6730
36,8680
37,12297
38,1396
39,8049
40,2730
41,10416
42,11322
43,14129
44,439
45,4517
46,231
47,3506
48,31581
49,6865
50,11488
51,4261
52,1866
53,1623
54,658
55,3065
56,3387
57,269
58,358
59,115
60,2476
61,14544
62,4177
63,3315
64,776
65,5934
66,4794
67,1927
68,34651
69,5585
70,5199
71,4794
72,5680
73,1089
74,10469
75,12938
76,12386
77,3143
78,4620
79,35496
80,8842
81,3031
82,8104
83,2652
84,489
85,3429
86,2439
87,12562
88,5743
89,8852
90,20746
91,5448
92,5806
93,1383
94,2136
95,7513
96,173
97,7773
98,1030
99,22
100,18490
101,1036
102,2734
106,2423
107,25301
108,1546
109,679
110,3
111,31
112,10939
113,18569
114,19586
115,891
116,6193
117,1883
118,991
119,3530
120,108
121,2491
122,1357
123,3196
124,1689
125,8174
126,3437
127,4115
128,331
129,8957
130,9216
131,1755
132,56333
133,2162
134,2618
135,1976
136,2899
137,15344
138,45849
139,2199
140,23233
141,26360
142,33751
143,15291
144,17198
145,10620
146,3513
147,2241
148,21188
149,2507
150,1081
151,9924
152,3263
153,994
154,102
155,2884
156,1413
157,3786
158,15223
159,4905
160,2402
161,52713
162,37791
163,32583
164,30104
165,3302
166,9435
167,3975
168,7196
169,4943
170,33832
171,2171
172,635
173,2724
174,4382
175,896
176,361
177,4722
178,1054
179,4341
180,1884
181,10651
182,2943
183,1368
184,293
185,3299
186,36568
187,772
188,8712
189,4014
190,621
191,3237
192,1404
193,2286
194,273
195,2398
196,2958
197,5072
198,6843
200,2227
201,774
202,821
203,2112
204,267
205,4684
206,2048
207,283
208,3432
209,4343
210,3360
211,13581
212,2913
213,5228
214,828
215,3590
216,7657
217,1869
218,2360
219,2149
220,3877
221,1425
222,1486
223,5483
224,3848
225,8938
226,7913
227,2710
228,5458
229,20331
230,41688
231,24145
232,6521
233,15375
234,35729
235,4544
236,43559
237,50670
238,21667
239,29398
240,737
241,3952
242,4139
243,6189
244,9405
245,811
246,27449
247,5734
248,2725
249,29288
250,2610
251,812
252,1407
253,41
254,5273
255,12019
256,9579
257,1599
258,3556
259,3507
260,5217
261,8460
262,15467
263,21875
264,1637
265,503
