trip_type,week,demand
yellow,1,15078
yellow,2,14918
yellow,3,16566
yellow,4,16385
yellow,5,17077
yellow,6,17241
yellow,7,17870
yellow,8,16761
yellow,9,17925
yellow,10,18347
yellow,11,18455
yellow,12,17823
yellow,13,18341
yellow,14,18305
yellow,15,18402
yellow,16,16748
yellow,17,18956
yellow,18,19254
yellow,19,20502
yellow,20,21152
yellow,21,17939
yellow,22,18644
yellow,23,20431
yellow,24,19454
yellow,25,19141
yellow,26,19519
yellow,27,14285
yellow,28,16868
yellow,29,18268
yellow,30,17316
yellow,31,17594
yellow,32,15461
yellow,33,16018
yellow,34,14709
yellow,35,14887
yellow,36,17985
yellow,37,20105
yellow,38,20126
yellow,39,18739
yellow,40,18682
yellow,41,19602
yellow,42,19663
yellow,43,18290
yellow,44,19377
yellow,45,18499
yellow,46,18750
yellow,47,19963
yellow,48,14900
yellow,49,22112
yellow,50,23956
yellow,51,22052
yellow,52,13446
fhv,1,20709
fhv,2,18917
fhv,3,19256
fhv,4,19522
fhv,5,19319
fhv,6,19600
fhv,7,20310
fhv,8,19696
fhv,9,19544
fhv,10,19530
fhv,11,19337
fhv,12,19053
fhv,13,18211
fhv,14,19192
fhv,15,19604
fhv,16,17976
fhv,17,19062
fhv,18,19288
fhv,19,19769
fhv,20,19897
fhv,21,18841
fhv,22,18409
fhv,23,18652
fhv,24,19219
fhv,25,18688
fhv,26,19603
fhv,27,17134
fhv,28,18076
fhv,29,18976
fhv,30,18502
fhv,31,18744
fhv,32,17471
fhv,33,18249
fhv,34,17655
fhv,35,17593
fhv,36,18285
fhv,37,19288
fhv,38,18949
fhv,39,18541
fhv,40,18423
fhv,41,19923
fhv,42,19635
fhv,43,20091
fhv,44,20950
fhv,45,19828
fhv,46,20294
fhv,47,20411
fhv,48,18335
fhv,49,21650
fhv,50,22874
fhv,51,21407
fhv,52,16569
