model,bucket,dow,revenue,nv_cost
empirical,00:00-05:59,1,231767.21472146362,31642.02882786526
glm_pto,00:00-05:59,1,215270.51683089277,90869.27857070761
lgbm_pto,00:00-05:59,1,223037.4916514653,54766.31890957325
dfl,00:00-05:59,1,140785.06752311563,252925.80746570823
empirical,00:00-05:59,2,205961.9769553629,47534.61235253683
glm_pto,00:00-05:59,2,239842.4076560955,66474.38327863856
lgbm_pto,00:00-05:59,2,213778.14203041611,47046.71921900821
dfl,00:00-05:59,2,228344.29024814433,163044.17931211452
empirical,00:00-05:59,3,232185.04436113004,59848.88904880962
glm_pto,00:00-05:59,3,267663.7641621089,69047.84649519337
lgbm_pto,00:00-05:59,3,229345.10492385938,67666.3890415313
dfl,00:00-05:59,3,134179.21784135327,221812.4744553417
empirical,00:00-05:59,4,268313.4112668609,87427.08117345326
glm_pto,00:00-05:59,4,295855.44797381345,92639.23383992372
lgbm_pto,00:00-05:59,4,256139.39114799447,103020.96153169786
dfl,00:00-05:59,4,185811.00139657827,261486.8673489095
empirical,00:00-05:59,5,342329.69252598257,115389.31150384992
glm_pto,00:00-05:59,5,317992.6335891031,158942.7279762828
lgbm_pto,00:00-05:59,5,306284.6013196592,161233.7537894681
dfl,00:00-05:59,5,229203.96540992177,351113.1339508272
empirical,00:00-05:59,6,348751.47782363096,294958.697049948
glm_pto,00:00-05:59,6,328568.50539387006,333975.6823922262
lgbm_pto,00:00-05:59,6,334112.6805912254,324905.44011576043
dfl,00:00-05:59,6,230385.5153299842,542868.6821929998
empirical,00:00-05:59,7,354607.917609401,364620.28610333096
glm_pto,00:00-05:59,7,303975.65034772316,422212.64159546164
lgbm_pto,00:00-05:59,7,341657.92536621005,387780.2958727813
dfl,00:00-05:59,7,267742.5469161737,544020.1360272685
empirical,06:00-08:59,1,352051.94353103306,55773.35134256352
glm_pto,06:00-08:59,1,243225.36038390853,174267.3007898319
lgbm_pto,06:00-08:59,1,343782.584142828,71877.20501677248
dfl,06:00-08:59,1,228296.12110496228,301938.84042726224
empirical,06:00-08:59,2,351031.0873977486,84789.55999155992
glm_pto,06:00-08:59,2,264382.6895326224,182524.76639334433
lgbm_pto,06:00-08:59,2,348726.97500917356,93770.56328878747
dfl,06:00-08:59,2,277732.470164867,264194.92965203576
empirical,06:00-08:59,3,351582.07681783184,58054.432814012536
glm_pto,06:00-08:59,3,266644.3485935754,158544.01117328295
lgbm_pto,06:00-08:59,3,345359.2501212526,72035.95833736431
dfl,06:00-08:59,3,208302.78055543822,329807.032473542
empirical,06:00-08:59,4,347525.62914099975,40573.82981055344
glm_pto,06:00-08:59,4,279633.2551610796,127277.2586724355
lgbm_pto,06:00-08:59,4,334941.08365207404,67263.22121280368
dfl,06:00-08:59,4,209775.0394136589,325216.01952824777
empirical,06:00-08:59,5,353434.03734593425,45225.622761948354
glm_pto,06:00-08:59,5,281743.6435774743,141563.32177318414
lgbm_pto,06:00-08:59,5,340817.70628525317,74165.53954254444
dfl,06:00-08:59,5,219415.19019877646,298904.8285465243
empirical,06:00-08:59,6,212330.2561218136,19718.269414970746
glm_pto,06:00-08:59,6,216757.45734354522,90700.65963213719
lgbm_pto,06:00-08:59,6,225198.3433827702,34522.41526975012
dfl,06:00-08:59,6,127383.40700548819,180646.62116257625
empirical,06:00-08:59,7,194309.51821307128,23291.404799980963
glm_pto,06:00-08:59,7,200721.68113993725,76413.12985119241
lgbm_pto,06:00-08:59,7,206838.86505118327,33149.28042029182
dfl,06:00-08:59,7,123641.38810709861,168866.12011540728
empirical,09:00-15:59,1,431053.30302903475,735848.794006992
glm_pto,09:00-15:59,1,405327.8615898645,761475.1748613622
lgbm_pto,09:00-15:59,1,426993.4113824769,741628.0943754388
dfl,09:00-15:59,1,308900.9808989385,935261.2965251748
empirical,09:00-15:59,2,425712.6889033666,831002.2870821079
glm_pto,09:00-15:59,2,408336.4518739408,853529.6745211433
lgbm_pto,09:00-15:59,2,422718.9101033553,837795.7468848118
dfl,09:00-15:59,2,418955.3482156206,837632.264160825
empirical,09:00-15:59,3,423994.83182353445,745080.8980654583
glm_pto,09:00-15:59,3,404749.31618181546,770793.654743418
lgbm_pto,09:00-15:59,3,419018.65999314457,753828.4478743123
dfl,09:00-15:59,3,333725.79804471496,912136.0365765349
empirical,09:00-15:59,4,422201.0844522303,699859.6655423762
glm_pto,09:00-15:59,4,410872.06450652843,713084.9881113961
lgbm_pto,09:00-15:59,4,416141.0364209495,709599.1067233783
dfl,09:00-15:59,4,323491.8417055609,880732.5876247415
empirical,09:00-15:59,5,430305.0948349945,797179.9012342342
glm_pto,09:00-15:59,5,416713.0714456412,813354.5755844495
lgbm_pto,09:00-15:59,5,424184.4470891486,808112.0630989462
dfl,09:00-15:59,5,332336.8793480849,961929.1023885824
empirical,09:00-15:59,6,420419.74140149273,813687.9034876518
glm_pto,09:00-15:59,6,416801.04791682714,820540.2174904379
lgbm_pto,09:00-15:59,6,415140.2134663364,824748.3241215046
dfl,09:00-15:59,6,317452.15615241823,993377.911664469
empirical,09:00-15:59,7,423007.3037624977,734051.5555486028
glm_pto,09:00-15:59,7,414859.9313671955,738717.6559637843
lgbm_pto,09:00-15:59,7,417064.59870834416,744848.2292579652
dfl,09:00-15:59,7,318612.91185191507,914765.0522916703
empirical,16:00-18:59,1,385075.46147990396,255543.66923852556
glm_pto,16:00-18:59,1,370968.9529640488,271812.95015217166
lgbm_pto,16:00-18:59,1,386859.20695746137,255662.56889441996
dfl,16:00-18:59,1,260205.12965543376,496787.5069207649
empirical,16:00-18:59,2,386692.2255671928,294193.39209842734
glm_pto,16:00-18:59,2,374624.21743313817,312534.18340683106
lgbm_pto,16:00-18:59,2,382423.27760885423,305597.25930721033
dfl,16:00-18:59,2,316044.3864074156,455841.18053158076
empirical,16:00-18:59,3,387070.3252718581,273147.3477382782
glm_pto,16:00-18:59,3,372451.5914911609,295272.6111470471
lgbm_pto,16:00-18:59,3,383352.82037854264,283695.0513723836
dfl,16:00-18:59,3,271062.5344381316,510084.5876594846
empirical,16:00-18:59,4,388049.5702955238,259832.59777491208
glm_pto,16:00-18:59,4,377288.31185558956,275045.7485388215
lgbm_pto,16:00-18:59,4,383955.5505570637,271589.22350004734
dfl,16:00-18:59,4,274256.2337990122,492318.28888558724
empirical,16:00-18:59,5,392279.8640574379,316713.4184614381
glm_pto,16:00-18:59,5,386349.0998072105,323929.954618256
lgbm_pto,16:00-18:59,5,389340.92240587634,328102.7801002448
dfl,16:00-18:59,5,281583.85198761587,533935.2613819055
empirical,16:00-18:59,6,387081.7381661285,311302.1159425122
glm_pto,16:00-18:59,6,382985.70289129036,318891.288767047
lgbm_pto,16:00-18:59,6,384510.6277992024,320205.4671442077
dfl,16:00-18:59,6,278160.7836254571,527767.1137685277
empirical,16:00-18:59,7,383177.02705699153,209707.71642397437
glm_pto,16:00-18:59,7,380327.0306630593,209993.6012122781
lgbm_pto,16:00-18:59,7,381584.0537182132,217618.06618241695
dfl,16:00-18:59,7,253283.70153396198,472957.1420623413
empirical,19:00-23:59,1,380398.6677976479,466631.9672494548
glm_pto,19:00-23:59,1,361990.15548899065,488525.4255860192
lgbm_pto,19:00-23:59,1,379501.58590263105,469271.5221584253
dfl,19:00-23:59,1,261348.37930288396,679662.4669195676
empirical,19:00-23:59,2,380344.6894230353,592723.2449422688
glm_pto,19:00-23:59,2,366710.4761497228,613624.8456640216
lgbm_pto,19:00-23:59,2,372856.30546827335,608824.828835923
dfl,19:00-23:59,2,349740.373525584,657121.6207973314
empirical,19:00-23:59,3,378817.66663681174,657314.062654236
glm_pto,19:00-23:59,3,375981.7416461305,660667.0629701962
