PULocationID,q_star
230,964.0
138,526.0
244,487.0
87,392.0
243,351.0
13,323.0
132,314.0
261,289.0
161,243.0
237,240.0
236,218.0
127,198.0
170,170.0
162,167.0
88,164.0
234,164.0
68,161.0
163,150.0
45,148.0
164,142.0
231,139.0
246,138.0
186,134.0
140,133.0
142,133.0
239,129.0
130,128.0
95,128.0
129,121.0
141,120.0
216,120.0
209,118.0
48,117.0
145,117.0
238,112.0
226,110.0
107,106.0
82,98.0
79,98.0
42,94.0
143,93.0
75,90.0
90,90.0
263,89.0
229,89.0
233,88.0
100,87.0
113,84.0
249,84.0
197,81.0
92,78.0
262,77.0
137,76.0
74,76.0
205,76.0
41,74.0
50,72.0
144,70.0
148,67.0
158,66.0
10,65.0
211,64.0
166,62.0
260,62.0
215,59.0
191,56.0
43,56.0
179,56.0
196,54.0
70,54.0
125,54.0
153,52.0
151,52.0
114,52.0
56,51.0
134,48.0
28,48.0
86,46.0
116,46.0
157,45.0
232,44.0
121,43.0
219,39.0
218,39.0
181,38.0
83,38.0
202,37.0
112,36.0
160,36.0
139,36.0
37,36.0
203,35.0
171,34.0
131,33.0
89,33.0
146,32.0
225,32.0
16,31.0
135,30.0
117,29.0
255,29.0
4,28.0
124,28.0
14,28.0
256,28.0
221,28.0
152,26.0
53,26.0
38,25.0
224,25.0
180,25.0
33,25.0
252,25.0
254,25.0
25,24.0
65,24.0
192,24.0
36,22.0
228,22.0
7,21.0
24,21.0
80,21.0
122,20.0
101,20.0
223,20.0
19,19.0
210,18.0
259,17.0
128,17.0
55,16.0
66,16.0
98,16.0
15,14.0
198,14.0
242,13.0
64,13.0
175,12.0
250,12.0
189,12.0
213,12.0
174,12.0
227,12.0
78,11.0
29,11.0
206,11.0
18,11.0
235,10.0
169,10.0
201,10.0
23,10.0
51,10.0
40,10.0
241,9.0
61,9.0
220,9.0
76,9.0
12,9.0
133,8.0
194,8.0
185,8.0
195,8.0
106,8.0
119,8.0
156,8.0
208,8.0
126,7.0
26,7.0
257,7.0
108,7.0
102,7.0
20,7.0
81,7.0
222,7.0
39,7.0
32,6.0
188,6.0
214,6.0
200,6.0
52,6.0
136,6.0
182,6.0
17,6.0
118,6.0
248,6.0
3,6.0
93,6.0
212,6.0
173,6.0
11,5.0
35,5.0
49,5.0
193,5.0
91,5.0
94,5.0
97,5.0
120,5.0
72,5.0
115,5.0
251,5.0
150,5.0
187,4.0
109,4.0
165,4.0
9,4.0
245,4.0
71,4.0
217,3.0
258,3.0
22,3.0
21,3.0
123,3.0
207,3.0
183,3.0
77,3.0
172,3.0
84,3.0
177,3.0
85,3.0
73,3.0
168,3.0
155,3.0
63,3.0
62,3.0
149,3.0
54,3.0
167,2.0
5,2.0
247,2.0
159,2.0
176,2.0
47,2.0
178,2.0
69,2.0
67,2.0
57,2.0
44,2.0
204,2.0
190,2.0
253,1.0
264,1.0
265,1.0
240,1.0
96,1.0
6,1.0
27,1.0
30,1.0
31,1.0
34,1.0
58,1.0
60,1.0
147,1.0
184,1.0
99,0.0
105,0.0
199,0.0
59,0.0
110,0.0
46,0.0
111,0.0
2,0.0
154,0.0
8,0.0
1,0.0
