PULocationID,q_star,Cu,tau
1,0,104.83,0.7874
2,0,73.14,0.721
3,5,31.95,0.5302
4,25,24.81,0.4671
5,1,54.06,0.6563
6,1,22.75,0.4456
7,112,28.78,0.5042
8,0,51.35,0.6447
9,16,28.32,0.5002
10,58,53.14,0.6525
11,5,29.55,0.5108
12,10,33.03,0.5386
13,297,33.51,0.5421
14,27,34.19,0.5471
15,14,37.25,0.5683
16,33,32.26,0.5326
17,26,28.22,0.4993
18,11,33.04,0.5386
19,17,34.96,0.5526
20,7,33.32,0.5407
21,11,28.82,0.5045
22,3,27.33,0.4913
23,9,50.19,0.6394
24,19,22.72,0.4453
25,23,30.24,0.5165
26,7,26.18,0.4805
27,1,50.74,0.6419
28,47,35.05,0.5532
29,11,34.8,0.5514
30,1,41.87,0.5966
31,1,41.97,0.5973
32,6,33.33,0.5408
33,23,32.14,0.5317
34,1,27.83,0.4958
35,22,27.84,0.4958
36,21,29.56,0.5109
37,30,30.39,0.5178
38,23,40.19,0.5868
39,29,27.89,0.4963
40,9,31.0,0.5228
41,68,23.24,0.4509
42,85,26.34,0.482
43,54,23.16,0.45
44,2,38.45,0.576
45,145,29.47,0.5101
46,0,46.48,0.6215
47,7,29.47,0.5101
48,110,24.76,0.4666
49,23,29.04,0.5065
50,67,23.92,0.458
51,9,38.55,0.5766
52,7,29.81,0.513
53,25,35.17,0.5541
54,2,34.38,0.5485
55,14,38.82,0.5783
56,46,33.46,0.5417
57,2,32.71,0.5361
58,1,32.19,0.5321
59,0,27.42,0.4921
60,4,28.84,0.5047
61,45,28.19,0.499
62,3,27.71,0.4947
63,13,28.11,0.4983
64,12,38.12,0.5739
65,20,31.83,0.5293
66,15,30.99,0.5226
67,8,28.07,0.4979
68,142,26.69,0.4853
69,10,29.11,0.507
70,51,67.52,0.7046
71,4,26.8,0.4864
72,4,25.99,0.4787
73,17,29.35,0.5091
74,68,24.0,0.4589
75,85,22.91,0.4473
76,45,28.34,0.5004
77,10,28.45,0.5013
78,10,31.92,0.53
79,84,23.32,0.4517
80,20,31.5,0.5267
81,7,34.31,0.548
82,94,30.14,0.5157
